datetime,href,ip_address,user_agent
"2018-07-20 06:41:25",https://www.gold.org/,2a02:aa1:160f:1431:d062:21e2:75bb:8e29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
"2018-07-20 06:41:18",https://user.gold.org/download/process,2a02:aa1:160f:1431:d062:21e2:75bb:8e29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
"2018-07-20 06:41:00",https://user.gold.org/download,2a02:aa1:160f:1431:d062:21e2:75bb:8e29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
"2018-07-20 06:39:59",https://user.gold.org/edit,2a02:aa1:160f:1431:d062:21e2:75bb:8e29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
"2018-07-20 06:39:11",https://www.gold.org/,2a02:aa1:160f:1431:d062:21e2:75bb:8e29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
"2018-07-20 06:38:44",https://user.gold.org/register/step2,2a02:aa1:160f:1431:d062:21e2:75bb:8e29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15"
"2018-07-19 22:20:15",https://user.gold.org/register/thanks,2.68.153.83,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
"2018-07-19 22:20:14",https://user.gold.org/edit,2.68.153.83,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
"2018-07-19 22:18:59",https://www.gold.org/research/library,2.68.153.83,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
"2018-07-19 22:18:10",https://www.gold.org/research/meet-the-team,2.68.153.83,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
"2018-07-19 22:15:32",https://www.gold.org/about-gold/history-of-gold/bretton-woods-system,2.68.153.83,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
"2018-07-19 22:12:07",https://www.gold.org/about-gold/gold-demand/sectors-of-demand/uses-of-gold,2.68.153.83,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
"2018-07-19 22:09:33",https://www.gold.org/about-gold/gold-supply/gold-mining/gold-mining-map,2.68.153.83,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
"2018-07-19 22:08:59",https://www.gold.org/terms-and-conditions,2.68.153.83,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1"
